artist,amount_of_songs,amount_of_plays
Blanee,1,1
Ween,1,17
Young the Giant,5,44
Dolly Dots,1,2
Jubël,1,3
Westside Connection,1,11
Whitney Houston,1,4
Passenger,1,21
Tube & Berger,1,14
Alkaline Trio,1,54
Macklemore,1,1
Gotye,3,17
Vigiland,2,22
Baha Men,1,18
Bee Gees,2,11
Oskar Schuster,3,26
J. Cole,6,33
Jefferson Airplane,1,13
Instant Party,5,40
Getter Jaani,3,7
Fatboy Slim,8,35
"Royce da 5'9""",3,8
Octopus Montage,1,4
Cheat Codes,2,20
Leo Sayer,1,20
Raekwon,2,34
Sean Finn,1,3
Green Bull,2,2
Joel Corry,1,2
Jaeger,9,109
Yeah Yeah Yeahs,1,14
Hellberg,3,3
The Beatles Tribute Band,1,22
Noisia,3,25
Promise Land,4,32
Movie Soundtrack All Stars,1,16
Halogen,1,3
Kiss,1,10
Capital Cities,1,33
Frans Duijts,1,3
Axwell,4,38
Grabbitz,1,16
Ram Jam,1,1
TDK,1,35
The Von Bondies,1,19
Mustasch,1,15
2010s Karaoke Band,1,3
The Fratellis,2,24
Cage the Elephant,5,62
Tristam,3,57
Lucio Quarantotto,1,1
Alice Deejay,2,4
F-777,1,20
Tha Playah,3,36
Jake Hope,1,5
Caesars,1,3
Downplay,1,26
SAYGRACE,1,4
Smash Mouth,4,27
Mia Strass,1,23
KAMAUU,1,1
fun.,4,43
My Chemical Romance,2,2
Major Look,1,26
At Dawn We Rage,1,23
Miss Hilda,1,1
CAT MUSIC,14,15
Sleepy Dogs,3,3
Sleepy Times,1,1
The Brothers Bright,2,37
Vangelis,2,7
Seven Lions,5,26
Walking Def,1,20
Bryan Adams,1,3
Nicky Starr,1,7
Rixton,1,30
Dolly Parton,1,31
Jasmine Thompson,1,22
Oliver,1,23
Era,2,49
Psy,1,18
Nina Simone,1,4
Charly Lownoise,2,33
The F-Ups,3,46
Belinda Carlisle,1,4
Duran Duran,1,2
Sendix,1,1
Spin Doctors,1,3
The Qemists,14,80
Axwell /\ Ingrosso,4,46
Parov Stelar,1,17
Andrew Seoul,1,15
Just A Gent,2,88
Sebastian Ingrosso,5,24
Tim Berg,2,13
Fink,1,10
De Toppers,1,6
Jebroer,5,53
Ghost,1,1
Bruce Hornsby,1,4
Swanky Tunes,2,19
Fytch,2,38
Darude,3,24
Quintino,2,10
Birdy Nam Nam,2,19
Sondr,2,6
Echos,11,18
Neil Diamond,1,3
Snap!,4,7
The Living Tombstone,1,7
DJ Antoine,3,11
Harold Faltermeyer,2,20
Bomfunk MC's,1,4
Van Dik Hout,1,2
pronobozo,1,1
Dash Berlin,1,3
Deetox,1,19
John Dahlbäck,1,18
SAINt JHN,1,38
Owl City,3,53
Guru Josh Project,3,19
Blank,3,7
Ozzy Osbourne,2,25
Unknown Brain,1,16
AC/DC,13,28
Milow,1,12
Wham!,2,5
2Faded,3,22
009 Sound System,1,2
Loreen,1,3
Matt Maeson,1,3
Black Sabbath,2,2
Márió,1,1
Nosferatu,1,21
Get Scared,1,6
A-Trak,4,17
Tungevaag & Raaban,4,44
Michel Teló,1,2
Salam Wreck,1,16
Charli XCX,3,12
Adel Tawil,1,1
Frédéric Chopin,2,19
Robin Hustin,1,10
Rave Radio,1,2
Zen/it,1,3
EGZOD,1,1
Rival,1,1
Funkadelic,1,16
Johan en Henk,1,6
Don Lore V,1,28
Varien,1,1
Creedence Clearwater Revival,1,21
Spanker,1,3
Moonbootica,1,1
Alle Farben,2,12
Lukas Graham,3,39
Temple of the Dog,1,2
Jonas Blue,11,71
Destiny's Child,1,20
DJ Isaac,1,6
Alphaville,1,7
The Buggles,1,9
Tom Novy,2,2
Kelly Clarkson,2,5
Andrew Rayel,1,15
Wheatus,1,2
DJ Gollum,2,12
Alien Project,2,10
Dzeko,2,2
Run–D.M.C.,2,23
Trapt,2,10
Abel,1,3
Maan,5,5
Ice Cube,3,11
Justin Timberlake,8,45
The Monkees,2,3
The Onion,2,2
Today Now! : Boy Finds Own Real,1,1
videogamedunkey,3,3
Kid Nation,1,1
Krunk!,1,3
Beartooth,3,56
Bassanova,2,3
Gaia,2,2
Karetus,2,30
Armand van Helden,4,9
PewDiePie,1,1
DramaAlert,1,1
Antichrist,1,28
Lykke Li,1,1
Stef Ekkel,1,1
The Chordettes,1,11
Enrique Iglesias,2,15
Sick Puppies,1,15
I'm Blue,1,19
DaCav5,1,9
Rico,1,2
Sharon Doorson,1,12
Commodores,1,2
Zentura,1,16
Tink,1,8
Tina Guo,1,3
Casting Crowns,8,36
Mason Ramsey,1,2
U-Recken,1,12
Drowning Pool,1,4
Hayley Williams,1,3
Route 94,2,23
David Bowie,2,12
Max Coveri,1,3
Dubskie,1,1
Breakbot,2,8
Cascada,4,20
Culprate,2,24
Daddy Yankee,1,1
Can't Stop Won't Stop,1,1
ANIMALS GO TO THE VET: Funniest REACTIONS,1,1
People Find Sealed Boxes Full Of Scared Cats,1,1
Tony Igy,1,1
